,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Warri,NG,1598548555,5.52,5.75,80.74,70,81,8.68
1,Manggar,ID,1598548528,-2.88,108.27,81.09,76,97,12.55
2,Tuktoyaktuk,CA,1598547997,69.45,-133.04,41.0,75,90,10.29
3,Hoquiam,US,1598548555,46.98,-123.89,62.01,93,90,4.56
4,Bredasdorp,ZA,1598548027,-34.53,20.04,60.8,67,0,9.17
5,Yaan,NG,1598548555,7.38,8.57,79.77,85,89,4.05
6,Lebu,CL,1598548028,-37.62,-73.65,52.12,79,99,10.54
7,Cape Town,ZA,1598547999,-33.93,18.42,60.8,63,40,9.17
8,Zyryanka,RU,1598548556,65.75,150.85,40.44,83,82,8.01
9,Philadelphia,US,1598548433,39.95,-75.16,91.0,55,40,19.46
10,Mindelo,CV,1598548490,16.89,-24.98,86.0,62,75,6.93
11,Moose Factory,CA,1598548557,51.26,-80.61,53.6,66,75,4.7
12,Chokurdakh,RU,1598548068,70.63,147.92,34.48,89,100,6.42
13,Kavaratti,IN,1598548557,10.57,72.64,82.51,75,100,13.73
14,Khovd,MN,1598548506,48.01,91.64,56.73,40,100,1.74
15,Tarancón,ES,1598548558,40.01,-3.01,96.01,16,19,7.11
16,Kaitangata,NZ,1598548060,-46.28,169.85,37.0,88,100,5.39
17,Leshukonskoye,RU,1598548558,64.9,45.76,52.25,82,18,6.67
18,Shitanjing,CN,1598548392,39.23,106.34,68.34,25,2,5.75
19,Salym,RU,1598548559,60.06,71.48,56.37,76,27,3.0
20,Punta Arenas,CL,1598548010,-53.15,-70.92,39.2,60,40,29.97
21,Viedma,AR,1598548559,-40.81,-63.0,63.0,45,0,10.0
22,Ahipara,NZ,1598548559,-35.17,173.17,50.65,79,4,7.18
23,Atuona,PF,1598548063,-9.8,-139.03,78.48,75,72,22.06
24,Castro,BR,1598548022,-24.79,-50.01,75.06,33,0,3.02
25,Nushki,PK,1598548560,29.55,66.02,80.02,17,0,3.58
26,Mataura,NZ,1598547995,-46.19,168.86,36.19,88,82,3.67
27,Najrān,SA,1598548560,17.49,44.13,96.8,15,20,6.93
28,Uruaçu,BR,1598548560,-14.52,-49.14,102.2,8,41,2.42
29,Husavik,IS,1598548091,66.04,-17.34,57.2,47,75,17.22
30,Rikitea,PF,1598548001,-23.12,-134.97,67.6,61,0,1.81
31,Yellowknife,CA,1598548026,62.46,-114.35,55.4,87,75,13.87
32,Pervomayskiy,RU,1598548561,53.25,40.29,64.72,74,100,3.22
33,Albany,US,1598547995,42.6,-73.97,62.01,90,100,3.71
34,Yatou,CN,1598548049,37.15,122.38,72.19,95,85,2.66
35,Guerrero Negro,MX,1598548561,27.98,-114.06,85.37,51,0,2.44
36,Ryde,GB,1598548282,50.73,-1.16,64.99,86,100,5.99
37,Bowen,AU,1598548500,-20.02,148.23,60.8,87,5,9.17
38,Ushuaia,AR,1598548006,-54.8,-68.3,42.8,38,40,21.92
39,Charters Towers,AU,1598548562,-20.1,146.27,55.76,84,6,7.0
40,Avarua,CK,1598548014,-21.21,-159.78,71.6,73,86,4.7
41,Hermanus,ZA,1598547991,-34.42,19.23,57.99,84,47,1.01
42,Farap,TM,1598548563,39.17,63.61,77.0,33,0,4.7
43,Bambous Virieux,MU,1598548060,-20.34,57.76,71.6,83,40,12.75
44,Mar del Plata,AR,1598548013,-38.0,-57.56,64.4,39,0,12.75
45,Nanuque,BR,1598548563,-17.84,-40.35,81.5,50,91,10.42
46,Vaini,TO,1598547996,-21.2,-175.2,66.2,100,96,4.7
47,Lagoa,PT,1598548075,39.05,-27.98,74.82,84,84,5.82
48,Torbay,CA,1598548007,47.67,-52.73,64.99,77,90,17.22
49,Hobart,AU,1598547765,-42.88,147.33,46.99,61,75,19.46
